id,query,metric,hits,sessions
9002926,подставка для ручек и карандаш,pdp_view,6,4
147093317,конфеты,pdp_view,2,2
135756018,монеты 10 рублей,pdp_view,5,5
141701040,детская посуда игрушки,pdp_view,1,1
143410516,многоразовые подгузники,pdp_view,3,3
138885140,шоколад alpen gold,pdp_view,1,1
148012201,женская сумка,pdp_view,5,1
139577776,кухонный комбайн,pdp_view,6,3
143474221,стразы холодной фиксации,pdp_view,1,1
146462204,фоамиран,pdp_view,26,17
143340500,для бани,pdp_view,7,3
140534626,оорчица,pdp_view,1,1
147054907,подарки,pdp_view,4,4
135464506,машинка для стрижки волос,pdp_view,5,3
30954188,двусторонняя клейкая лента,pdp_view,1,1
140171654,140171654,pdp_view,6,5
140120536,mojo фигур,pdp_view,2,1
143538679,средства для линолеума,pdp_view,2,1
147094200,блеск для губ,pdp_view,3,1
144146835,комиксы,pdp_view,5,3
135069101,котенок,pdp_view,6,1
146325902,мобиль,pdp_view,8,1
143777751,оберточная бумага,pdp_view,10,8
135876665,бумага для выпечки,pdp_view,1,1
147093202,коробка,pdp_view,2,2
145283934,женави кулон,pdp_view,2,2
142877132,детские каши,pdp_view,10,4
135584945,рабочие тетради для дошкольников солнечные ступеньки,pdp_view,1,1
143924474,выпечка,pdp_view,2,2
141133729,бубновский,pdp_view,5,5
143778150,sofia,pdp_view,1,1
141009129,машинки технопарк,pdp_view,7,1
29983440,корм для кошек,pdp_view,2,2
144959697,кофр для сумок,pdp_view,16,1
8142442,bradex,pdp_view,2,2
147451404,ель,pdp_view,5,1
147958275,ель искусственная,pdp_view,13,8
33645756,когтерез гильотина hello pet для животных,pdp_view,1,1
147770070,подарок,pdp_view,1,1
140133646,чемодан на колесах,pdp_view,1,1
5030466,николай гоголь сорочинская ярмарка,pdp_view,1,1
143795262,картина по номерам индеец,pdp_view,1,1
138022598,павлоцкий контрольные работы по английскому языку,pdp_view,2,1
135408561,горшочек для меда,pdp_view,10,7
142624133,каша льняная,pdp_view,9,6
139204318,вода,pdp_view,3,3
135471768,поильник непроливайка,pdp_view,12,4
136185573,губка нубук,pdp_view,1,1
146000364,постельное белье 1 5 спальное поплин,pdp_view,6,1
147571736,ёлочное украшение,pdp_view,1,1
6492695,smile hvc 831,pdp_view,4,3
143327253,лего конструктор,pdp_view,27,11
32957542,lego duplo,pdp_view,1,1
139558721,корзина для белья,pdp_view,1,1
135885036,мягкая мозаика,pdp_view,2,1
141883342,роб кидд проклятие меча,pdp_view,1,1
143470325,маршак,pdp_view,32,17
147571868,новогодние украшения,pdp_view,3,3
144824592,женщина с венеры,pdp_view,2,2
139010496,ручка на подставке,pdp_view,8,6
141522038,гоголь,pdp_view,1,1
146694676,успенский,pdp_view,2,2
144540657,маски для лица,pdp_view,2,2
141571429,плоскогубцы,pdp_view,9,8
148009153,джемпер мужской,pdp_view,6,1
147825460,наклейки на окна,pdp_view,8,8
145682831,funko pop! bobble фигурка star wars,pdp_view,1,1
143356198,лимонница,pdp_view,6,5
147770164,декоративные прищепки,pdp_view,2,2
145308508,игровой набор для песочницы,pdp_view,1,1
146886123,книжки с наклейками,pdp_view,6,6
143578972,искусство уважения,pdp_view,1,1
139904215,лампочка g4,pdp_view,3,3
145300547,кисть малярная,pdp_view,2,1
142131524,пазлы,pdp_view,11,7
146743696,календарь,pdp_view,4,4
32667926,математика 1 класс,pdp_view,13,9
139623361,априори,pdp_view,7,5
34727775,шмяк,pdp_view,6,6
135293930,шампунь american crew,pdp_view,2,1
29154115,насадки для black decker,pdp_view,2,2
146827903,маркер акварельный,pdp_view,3,2
141371772,смесь для выпечки,pdp_view,6,4
140440493,для декупажа,pdp_view,2,2
145576929,колготки,pdp_view,1,1
17536341,антистресс,pdp_view,3,2
144670212,игрушки,pdp_view,6,2
136727493,несбе красношейка,pdp_view,9,9
145328658,вино безалькогольное,pdp_view,1,1
33783709,феникс конспекты уроков русский,pdp_view,1,1
143080446,пеленки,pdp_view,1,1
31497308,переходник usb - micro usb,pdp_view,1,1
138006308,кисти синтетика,pdp_view,4,1
138936195,пряжа для вязания,pdp_view,7,1
143085452,nissan murano,pdp_view,2,1
147188444,скатерть,pdp_view,11,4
141308463,малышарики наклейки,pdp_view,2,2
146968999,разъемная форма для выпечки,pdp_view,3,2
140937549,магниты,pdp_view,2,2
142920501,солнечные ступеньки,pdp_view,26,15
145760308,пластырь,pdp_view,36,23
5356860,бакуган,pdp_view,11,10
147007466,андрей курпатов счастлив по собственному желанию,pdp_view,5,5
144430389,посуда детская,pdp_view,3,2
144074466,день рожденья,pdp_view,15,1
4036746,фильтр для воды аквафор,pdp_view,6,6
147725046,астрология,pdp_view,2,1
28141568,new language leader. intermediate. coursebook,pdp_view,1,1
146010705,ароматизатор для автомобиля,pdp_view,7,4
5135633,шведский язык,pdp_view,2,2
145282529,платок женский,pdp_view,4,3
23944163,трыков,pdp_view,1,1
147944298,татьяна степанова,pdp_view,4,4
140693381,после книга анна тодд,pdp_view,1,1
32640468,игрушка-грелка,pdp_view,3,3
142312613,зоболи,pdp_view,1,1
138394203,мистраль гречка,pdp_view,5,5
143592831,гимнастическая лента,pdp_view,4,3
135390601,лак для ногтей детский,pdp_view,21,20
147662703,кашпо для цветов,pdp_view,1,1
138567744,салфетка для стекол,pdp_view,4,4
3840004,жюль верн,pdp_view,1,1
32839939,ножницы,pdp_view,3,3
135518720,135518720,pdp_view,1,1
137000258,чайник,pdp_view,2,2
142823983,лепейник,pdp_view,1,1
142682103,147710831,pdp_view,1,1
3817745,музей пушкина,pdp_view,1,1
147203928,класс окружающи мир,pdp_view,1,1
138790522,соль,pdp_view,6,5
147652618,солонка и перечница,pdp_view,14,2
136703082,гриль,pdp_view,11,2
147475398,наборы для опытов и экспериментов,pdp_view,4,2
30655209,формы для мыла,pdp_view,3,3
139089450,топинамбур,pdp_view,5,5
18576032,vacuvin,pdp_view,1,1
